Customer_ID,Age,Gender,City
CCC0001,26,Male,Mumbai
CCC0002,50,Male,Mumbai
CCC0003,32,Male,Chennai
CCC0004,34,Female,Hyderabad
CCC0005,35,Male,Chennai
CCC0006,28,Female,Chennai
CCC0007,21,Female,Pune
CCC0008,49,Male,Mumbai
CCC0009,32,Female,Chennai
CCC0010,22,Male,Mumbai
CCC0011,19,Male,Hyderabad
CCC0012,50,Male,Chennai
CCC0013,31,Female,Bangalore
CCC0014,49,Male,Pune
CCC0015,19,Male,Hyderabad
CCC0016,52,Male,Hyderabad
CCC0017,18,Female,Hyderabad
CCC0018,39,Male,Hyderabad
CCC0019,31,Male,Hyderabad
CCC0020,49,Female,Hyderabad
CCC0021,49,Male,Pune
CCC0022,54,Male,Delhi
CCC0023,52,Female,Mumbai
CCC0024,38,Male,Hyderabad
CCC0025,22,Male,Mumbai
CCC0026,43,Female,Mumbai
CCC0027,40,Male,Bangalore
CCC0028,27,Female,Chennai
CCC0029,52,Female,Pune
CCC0030,36,Female,Bangalore
CCC0031,37,Female,Chennai
CCC0032,39,Female,Mumbai
CCC0033,36,Female,Mumbai
CCC0034,21,Female,Chennai
CCC0035,42,Male,Hyderabad
CCC0036,35,Male,Pune
CCC0037,49,Male,Delhi
CCC0038,47,Male,Hyderabad
CCC0039,45,Male,Chennai
CCC0040,52,Male,Bangalore
CCC0041,48,Female,Hyderabad
CCC0042,55,Male,Chennai
CCC0043,54,Female,Delhi
CCC0044,21,Female,Pune
CCC0045,31,Male,Pune
CCC0046,27,Male,Mumbai
CCC0047,32,Male,Hyderabad
CCC0048,51,Male,Chennai
CCC0049,37,Male,Chennai
CCC0050,53,Female,Chennai
CCC0051,25,Female,Hyderabad
CCC0052,55,Male,Mumbai
CCC0053,38,Female,Chennai
CCC0054,18,Female,Chennai
CCC0055,19,Male,Mumbai
CCC0056,18,Male,Bangalore
CCC0057,24,Female,Hyderabad
CCC0058,41,Male,Chennai
CCC0059,54,Female,Chennai
CCC0060,42,Female,Delhi
CCC0061,31,Female,Delhi
CCC0062,40,Male,Pune
CCC0063,35,Male,Bangalore
CCC0064,23,Male,Bangalore
CCC0065,55,Male,Delhi
CCC0066,50,Female,Mumbai
CCC0067,54,Male,Bangalore
CCC0068,31,Male,Hyderabad
CCC0069,29,Male,Bangalore
CCC0070,20,Male,Pune
CCC0071,53,Male,Hyderabad
CCC0072,54,Female,Bangalore
CCC0073,33,Male,Pune
CCC0074,45,Male,Delhi
CCC0075,38,Male,Chennai
CCC0076,55,Female,Hyderabad
CCC0077,38,Male,Delhi
CCC0078,38,Female,Bangalore
CCC0079,28,Male,Bangalore
CCC0080,32,Male,Delhi
CCC0081,42,Male,Mumbai
CCC0082,44,Male,Bangalore
CCC0083,29,Female,Mumbai
