Order_ID,Product_ID,Quantity
CCO10337,CCP005,3
CCO09793,CCP015,4
CCO09266,CCP003,3
CCO10847,CCP004,1
CCO10116,CCP018,4
CCO00775,CCP016,2
CCO01513,CCP001,2
CCO01716,CCP002,1
CCO05026,CCP017,3
CCO11006,CCP017,2
CCO01485,CCP015,1
CCO03915,CCP016,4
CCO11467,CCP010,3
CCO03367,CCP002,1
CCO05800,CCP005,1
CCO02448,CCP020,2
CCO02386,CCP014,3
CCO05593,CCP018,1
CCO01760,CCP013,4
CCO09354,CCP005,1
CCO08698,CCP016,2
CCO02514,CCP003,2
CCO08884,CCP005,4
CCO07761,CCP004,3
CCO03904,CCP012,3
CCO02279,CCP004,2
CCO10682,CCP020,4
CCO02623,CCP011,3
CCO10895,CCP018,1
CCO04735,CCP009,1
CCO09205,CCP011,2
CCO04127,CCP005,2
CCO06852,CCP020,2
CCO08285,CCP007,1
CCO05742,CCP008,4
CCO02021,CCP006,2
CCO11752,CCP010,1
CCO04433,CCP012,3
CCO11217,CCP010,1
CCO05252,CCP003,2
CCO09841,CCP006,2
CCO09260,CCP004,1
CCO09065,CCP003,4
CCO10225,CCP012,1
CCO11643,CCP007,1
CCO06795,CCP002,3
CCO08265,CCP017,4
CCO11509,CCP010,4
CCO06573,CCP020,3
CCO07629,CCP005,3
CCO02314,CCP016,2
CCO09435,CCP003,1
CCO01265,CCP017,4
CCO10493,CCP003,4
CCO03018,CCP013,3
CCO09060,CCP006,3
CCO00266,CCP016,2
CCO10288,CCP012,1
CCO09144,CCP009,3
CCO07694,CCP004,4
CCO10901,CCP003,4
CCO07546,CCP001,4
CCO04825,CCP017,1
CCO07493,CCP005,1
CCO07448,CCP002,1
CCO02389,CCP002,1
CCO01026,CCP006,1
CCO02438,CCP018,3
CCO08656,CCP016,3
CCO07468,CCP002,2
CCO03403,CCP012,1
CCO00245,CCP006,4
CCO08355,CCP020,4
CCO09798,CCP005,3
CCO10217,CCP020,4
CCO03085,CCP009,4
CCO03653,CCP017,1
CCO08807,CCP007,4
CCO03428,CCP007,4
CCO03223,CCP014,2
CCO01561,CCP012,3
CCO04106,CCP003,2
CCO00432,CCP013,4
CCO06152,CCP013,3
CCO11898,CCP006,3
CCO06817,CCP012,1
CCO00697,CCP019,2
CCO10290,CCP001,2
CCO02312,CCP001,2
CCO11071,CCP011,3
CCO08664,CCP016,4
CCO11474,CCP011,1
CCO03739,CCP006,3
CCO04807,CCP019,4
CCO07482,CCP006,4
CCO08202,CCP015,4
CCO02541,CCP002,4
CCO11759,CCP016,4
CCO02473,CCP016,3
CCO05738,CCP009,3
CCO08899,CCP012,2
CCO04114,CCP016,4
CCO08451,CCP010,2
CCO08897,CCP017,1
CCO02688,CCP018,3
CCO07876,CCP006,1
CCO03808,CCP013,2
CCO02255,CCP019,3
CCO10089,CCP012,1
CCO04596,CCP003,3
CCO03787,CCP014,2
CCO03593,CCP016,4
CCO08860,CCP012,2
CCO03405,CCP007,3
CCO03094,CCP015,1
CCO04965,CCP002,2
CCO08963,CCP002,1
CCO00263,CCP009,2
CCO06561,CCP019,3
CCO02214,CCP003,1
CCO05823,CCP017,4
CCO00885,CCP018,1
CCO09971,CCP014,4
CCO11420,CCP016,4
CCO04008,CCP014,2
CCO06557,CCP005,3
CCO11180,CCP003,4
CCO06660,CCP001,1
CCO07029,CCP009,2
CCO11062,CCP019,2
CCO07378,CCP007,2
CCO02148,CCP001,4
CCO02883,CCP015,3
CCO02886,CCP001,4
CCO06274,CCP020,3
CCO02763,CCP019,1
CCO00280,CCP019,1
CCO01740,CCP019,2
CCO04737,CCP007,3
CCO10435,CCP015,4
CCO07934,CCP013,4
CCO02951,CCP017,4
CCO03325,CCP019,3
CCO11334,CCP009,4
CCO00732,CCP010,3
CCO09016,CCP007,1
CCO10551,CCP016,2
CCO07010,CCP006,2
CCO08804,CCP019,1
CCO01671,CCP010,3
CCO04959,CCP016,3
CCO11457,CCP007,2
CCO09371,CCP018,4
CCO02702,CCP003,2
CCO10380,CCP001,2
CCO00091,CCP007,4
CCO00354,CCP002,3
CCO06520,CCP009,2
CCO03797,CCP005,3
CCO11858,CCP005,2
CCO10642,CCP006,1
CCO06904,CCP006,1
CCO10665,CCP001,3
CCO01035,CCP001,2
CCO03562,CCP003,2
CCO10693,CCP012,4
CCO11549,CCP018,1
CCO08802,CCP015,2
CCO10458,CCP002,3
CCO03413,CCP018,2
CCO10466,CCP020,1
CCO04025,CCP006,4
CCO10160,CCP019,3
CCO11958,CCP014,2
CCO10294,CCP014,4
CCO03442,CCP007,2
CCO07143,CCP011,2
CCO03862,CCP019,1
CCO08550,CCP006,1
CCO11169,CCP018,1
CCO07521,CCP010,1
CCO00853,CCP001,2
CCO00875,CCP019,3
CCO03039,CCP012,3
CCO08379,CCP015,2
CCO00348,CCP011,4
CCO02829,CCP010,4
CCO00341,CCP018,2
CCO07993,CCP013,4
CCO02078,CCP003,3
CCO00914,CCP008,1
CCO10231,CCP003,4
CCO07123,CCP007,3
CCO06026,CCP011,3
CCO08022,CCP019,4
CCO07740,CCP010,1
CCO04810,CCP011,4
CCO01724,CCP003,2
CCO11839,CCP014,1
CCO11210,CCP017,4
CCO07411,CCP002,2
CCO09645,CCP017,1
CCO08333,CCP012,1
CCO03829,CCP007,4
CCO04139,CCP015,1
CCO08167,CCP003,4
CCO01878,CCP012,1
CCO00065,CCP005,1
CCO05289,CCP015,2
CCO01123,CCP005,3
CCO00850,CCP003,2
CCO08952,CCP009,4
CCO01397,CCP005,1
CCO09788,CCP016,3
CCO02549,CCP010,3
CCO11296,CCP005,1
CCO11739,CCP012,4
CCO00258,CCP005,2
CCO08004,CCP011,4
CCO02141,CCP002,1
CCO00510,CCP008,3
CCO01487,CCP017,2
CCO08147,CCP017,1
CCO07036,CCP011,3
CCO10368,CCP003,4
CCO04394,CCP009,2
CCO11670,CCP009,4
CCO04451,CCP019,3
CCO11306,CCP003,3
CCO06860,CCP016,2
CCO08916,CCP010,3
CCO02916,CCP015,4
CCO03864,CCP008,2
CCO05868,CCP008,2
CCO00384,CCP007,4
CCO03015,CCP009,3
CCO02020,CCP009,4
CCO10084,CCP009,4
CCO10040,CCP005,4
CCO11326,CCP009,2
CCO06548,CCP005,3
CCO03670,CCP017,2
CCO00950,CCP008,2
CCO11577,CCP018,2
CCO04157,CCP007,3
CCO03902,CCP011,1
CCO06981,CCP011,2
CCO02056,CCP017,3
CCO09384,CCP005,4
CCO02905,CCP008,4
CCO07761,CCP005,3
CCO04259,CCP013,1
CCO00636,CCP010,1
CCO05038,CCP012,4
CCO05118,CCP015,1
