Order_ID,Customer_ID,Store_ID,Order_Date
CCO00001,CCC0206,CCS024,2025-06-23
CCO00002,CCC1914,CCS022,2025-02-14
CCO00003,CCC1476,CCS004,2025-11-04
CCO00004,CCC1481,CCS020,2025-04-24
CCO00005,CCC0821,CCS016,2025-03-13
CCO00006,CCC1508,CCS003,2025-04-17
CCO00007,CCC0927,CCS018,2025-08-10
CCO00008,CCC0877,CCS019,2025-11-10
CCO00009,CCC1847,CCS012,2025-05-28
CCO00010,CCC1779,CCS018,2025-03-20
CCO00011,CCC2865,CCS007,2025-09-17
CCO00012,CCC1389,CCS016,2025-04-12
CCO00013,CCC0496,CCS005,2025-07-08
CCO00014,CCC1834,CCS007,2025-04-25
CCO00015,CCC1113,CCS002,2025-06-10
CCO00016,CCC0788,CCS008,2025-10-16
CCO00017,CCC2372,CCS021,2025-01-05
CCO00018,CCC2714,CCS006,2025-08-04
CCO00019,CCC1391,CCS020,2025-03-19
CCO00020,CCC1782,CCS013,2025-06-19
CCO00021,CCC0088,CCS019,2025-05-01
CCO00022,CCC1978,CCS007,2025-01-23
CCO00023,CCC0232,CCS004,2025-07-31
CCO00024,CCC0805,CCS018,2025-10-06
CCO00025,CCC0289,CCS016,2025-09-08
CCO00026,CCC0537,CCS022,2025-03-19
CCO00027,CCC0060,CCS003,2025-01-06
CCO00028,CCC2581,CCS024,2025-04-07
CCO00029,CCC0710,CCS017,2025-04-23
CCO00030,CCC0352,CCS003,2025-02-03
CCO00031,CCC0023,CCS007,2025-11-09
CCO00032,CCC1893,CCS010,2025-08-31
CCO00033,CCC0629,CCS023,2025-11-03
CCO00034,CCC1526,CCS014,2025-12-26
CCO00035,CCC1183,CCS014,2025-12-02
CCO00036,CCC2351,CCS021,2025-06-01
CCO00037,CCC2005,CCS023,2025-02-07
CCO00038,CCC1011,CCS023,2025-01-22
CCO00039,CCC1870,CCS005,2025-01-10
CCO00040,CCC1725,CCS004,2025-01-04
CCO00041,CCC0743,CCS017,2025-05-04
CCO00042,CCC1130,CCS019,2025-08-08
CCO00043,CCC2616,CCS001,2025-07-26
CCO00044,CCC2563,CCS022,2025-02-25
CCO00045,CCC1591,CCS024,2025-05-22
CCO00046,CCC2865,CCS018,2025-04-20
CCO00047,CCC0472,CCS006,2025-04-14
CCO00048,CCC0129,CCS013,2025-09-18
CCO00049,CCC0305,CCS006,2025-06-13
CCO00050,CCC3000,CCS017,2025-08-31
CCO00051,CCC2160,CCS004,2025-11-26
CCO00052,CCC2583,CCS003,2025-12-11
CCO00053,CCC0250,CCS005,2025-06-25
CCO00054,CCC0725,CCS016,2025-01-22
CCO00055,CCC1748,CCS021,2025-02-20
CCO00056,CCC0573,CCS005,2025-07-19
CCO00057,CCC0148,CCS022,2025-08-03
CCO00058,CCC2837,CCS004,2025-05-28
CCO00059,CCC2999,CCS006,2025-05-09
CCO00060,CCC1281,CCS018,2025-08-10
CCO00061,CCC1116,CCS003,2025-06-01
CCO00062,CCC1379,CCS024,2025-09-19
CCO00063,CCC0751,CCS008,2025-02-02
CCO00064,CCC0822,CCS023,2025-10-03
CCO00065,CCC1235,CCS006,2025-10-14
CCO00066,CCC1910,CCS007,2025-04-28
CCO00067,CCC0821,CCS001,2025-08-14
CCO00068,CCC1826,CCS007,2025-08-27
CCO00069,CCC1513,CCS007,2025-06-08
CCO00070,CCC2046,CCS009,2025-08-27
CCO00071,CCC1138,CCS013,2025-06-02
CCO00072,CCC0048,CCS005,2025-04-09
CCO00073,CCC0062,CCS012,2025-07-01
CCO00074,CCC2652,CCS010,2025-12-22
CCO00075,CCC0332,CCS005,2025-02-28
CCO00076,CCC0643,CCS010,2025-03-16
CCO00077,CCC2132,CCS007,2025-06-20
CCO00078,CCC2616,CCS020,2025-11-18
CCO00079,CCC1042,CCS013,2025-02-04
CCO00080,CCC0244,CCS022,2025-07-31
CCO00081,CCC0053,CCS021,2025-03-02
CCO00082,CCC1151,CCS002,2025-05-04
CCO00083,CCC0948,CCS013,2025-09-11
CCO00084,CCC1750,CCS019,2025-12-31
CCO00085,CCC0459,CCS005,2025-04-24
CCO00086,CCC1437,CCS022,2025-08-17
CCO00087,CCC2349,CCS004,2025-01-15
CCO00088,CCC0042,CCS021,2025-04-07
CCO00089,CCC0804,CCS004,2025-07-23
CCO00090,CCC1854,CCS023,2025-07-10
CCO00091,CCC2907,CCS025,2025-11-09
CCO00092,CCC0037,CCS013,2025-04-02
CCO00093,CCC0139,CCS016,2025-01-05
CCO00094,CCC2339,CCS024,2025-09-26
CCO00095,CCC1599,CCS015,2025-12-15
CCO00096,CCC2356,CCS011,2025-02-13
CCO00097,CCC1216,CCS007,2025-12-31
CCO00098,CCC0257,CCS013,2025-07-11
CCO00099,CCC2859,CCS017,2025-07-04
CCO00100,CCC1298,CCS024,2025-09-10
CCO00101,CCC2802,CCS015,2025-06-29
CCO00102,CCC1248,CCS009,2025-10-15
CCO00103,CCC0499,CCS021,2025-07-12
CCO00104,CCC0173,CCS022,2025-08-13
CCO00105,CCC0357,CCS016,2025-03-26
CCO00106,CCC0328,CCS012,2025-07-28
CCO00107,CCC1676,CCS007,2025-10-29
CCO00108,CCC1753,CCS006,2025-08-22
CCO00109,CCC2437,CCS012,2025-05-19
CCO00110,CCC2687,CCS020,2025-04-13
CCO00111,CCC0239,CCS010,2025-01-28
CCO00112,CCC2745,CCS014,2025-05-27
CCO00113,CCC2291,CCS015,2025-02-09
CCO00114,CCC0046,CCS005,2025-08-30
CCO00115,CCC0001,CCS009,2025-11-10
CCO00116,CCC0849,CCS022,2025-10-20
CCO00117,CCC1565,CCS022,2025-05-20
CCO00118,CCC0418,CCS004,2025-08-30
CCO00119,CCC1951,CCS021,2025-05-13
CCO00120,CCC1189,CCS020,2025-05-24
CCO00121,CCC0146,CCS004,2025-05-04
CCO00122,CCC1559,CCS003,2025-07-30
CCO00123,CCC0168,CCS015,2025-06-12
CCO00124,CCC2310,CCS020,2025-03-01
CCO00125,CCC0411,CCS001,2025-01-29
CCO00126,CCC2932,CCS023,2025-01-12
CCO00127,CCC0270,CCS005,2025-10-03
CCO00128,CCC0879,CCS021,2025-08-14
CCO00129,CCC0160,CCS005,2025-06-28
CCO00130,CCC2980,CCS014,2025-03-31
CCO00131,CCC0132,CCS005,2025-12-24
CCO00132,CCC2196,CCS008,2025-07-06
CCO00133,CCC1657,CCS005,2025-11-21
CCO00134,CCC0223,CCS010,2025-04-23
CCO00135,CCC2908,CCS017,2025-10-25
CCO00136,CCC2623,CCS012,2025-01-28
CCO00137,CCC0234,CCS011,2025-05-21
CCO00138,CCC0281,CCS008,2025-02-04
CCO00139,CCC1593,CCS011,2025-09-27
CCO00140,CCC2929,CCS015,2025-03-02
CCO00141,CCC0620,CCS002,2025-07-01
CCO00142,CCC0220,CCS004,2025-03-08
CCO00143,CCC0602,CCS022,2025-04-15
CCO00144,CCC0556,CCS016,2025-02-11
CCO00145,CCC2983,CCS008,2025-03-19
CCO00146,CCC0093,CCS020,2025-02-01
CCO00147,CCC1269,CCS013,2025-07-17
CCO00148,CCC2817,CCS004,2025-03-13
CCO00149,CCC2533,CCS013,2025-05-05
CCO00150,CCC0306,CCS003,2025-07-07
CCO00151,CCC1614,CCS019,2025-09-01
CCO00152,CCC0414,CCS023,2025-08-30
CCO00153,CCC2855,CCS003,2025-08-01
CCO00154,CCC0532,CCS014,2025-09-13
CCO00155,CCC2285,CCS005,2025-02-10
CCO00156,CCC1111,CCS012,2025-11-29
CCO00157,CCC1578,CCS015,2025-05-25
CCO00158,CCC2936,CCS015,2025-06-17
CCO00159,CCC0146,CCS006,2025-07-27
CCO00160,CCC0502,CCS022,2025-07-03
CCO00161,CCC2135,CCS014,2025-02-25
CCO00162,CCC2264,CCS021,2025-07-13
CCO00163,CCC0293,CCS024,2025-05-03
CCO00164,CCC1251,CCS015,2025-02-05
CCO00165,CCC2038,CCS013,2025-11-18
CCO00166,CCC0383,CCS022,2025-04-10
CCO00167,CCC1855,CCS019,2025-10-08
CCO00168,CCC2221,CCS025,2025-08-01
CCO00169,CCC1904,CCS010,2025-05-09
CCO00170,CCC2397,CCS025,2025-07-02
CCO00171,CCC2455,CCS016,2025-04-22
CCO00172,CCC1810,CCS018,2025-08-07
CCO00173,CCC2701,CCS006,2025-07-27
CCO00174,CCC1442,CCS023,2025-10-31
CCO00175,CCC0495,CCS004,2025-09-03
CCO00176,CCC2476,CCS020,2025-07-19
CCO00177,CCC0799,CCS019,2025-02-12
CCO00178,CCC0283,CCS016,2025-11-02
CCO00179,CCC0707,CCS021,2025-04-22
CCO00180,CCC2899,CCS018,2025-09-14
CCO00181,CCC2083,CCS008,2025-05-21
CCO00182,CCC0073,CCS022,2025-04-04
CCO00183,CCC2704,CCS021,2025-07-10
CCO00184,CCC2068,CCS013,2025-03-25
CCO00185,CCC1675,CCS007,2025-09-30
CCO00186,CCC0119,CCS017,2025-07-14
CCO00187,CCC2494,CCS006,2025-08-22
CCO00188,CCC0972,CCS005,2025-02-28
CCO00189,CCC0059,CCS022,2025-09-27
CCO00190,CCC1868,CCS008,2025-08-31
CCO00191,CCC1847,CCS010,2025-03-30
CCO00192,CCC2630,CCS010,2025-06-08
CCO00193,CCC1002,CCS011,2025-08-07
CCO00194,CCC1225,CCS017,2025-01-02
CCO00195,CCC1973,CCS017,2025-10-20
CCO00196,CCC1044,CCS002,2025-07-21
CCO00197,CCC0542,CCS015,2025-10-22
CCO00198,CCC0899,CCS002,2025-06-22
CCO00199,CCC1906,CCS020,2025-07-19
CCO00200,CCC1268,CCS008,2025-10-09
CCO00201,CCC2260,CCS015,2025-04-09
CCO00202,CCC0851,CCS010,2025-12-30
CCO00203,CCC1538,CCS006,2025-03-25
CCO00204,CCC1167,CCS023,2025-07-25
CCO00205,CCC1145,CCS009,2025-03-06
CCO00206,CCC2200,CCS015,2025-03-26
CCO00207,CCC0700,CCS008,2025-02-21
CCO00208,CCC2992,CCS021,2025-04-07
CCO00209,CCC0032,CCS009,2025-01-01
CCO00210,CCC0025,CCS021,2025-06-21
CCO00211,CCC0266,CCS006,2025-11-11
CCO00212,CCC1057,CCS017,2025-08-01
CCO00213,CCC2521,CCS007,2025-06-18
CCO00214,CCC0083,CCS010,2025-11-08
CCO00215,CCC1470,CCS007,2025-08-11
CCO00216,CCC2658,CCS010,2025-01-26
CCO00217,CCC0963,CCS025,2025-06-30
CCO00218,CCC0653,CCS015,2025-01-20
CCO00219,CCC0876,CCS022,2025-11-20
CCO00220,CCC0691,CCS001,2025-04-13
CCO00221,CCC1720,CCS021,2025-02-09
CCO00222,CCC0921,CCS013,2025-03-13
CCO00223,CCC1637,CCS008,2025-10-22
CCO00224,CCC2218,CCS008,2025-09-15
CCO00225,CCC1127,CCS023,2025-04-06
CCO00226,CCC1207,CCS018,2025-02-12
CCO00227,CCC0614,CCS002,2025-01-01
CCO00228,CCC2304,CCS020,2025-06-29
CCO00229,CCC1107,CCS003,2025-04-25
CCO00230,CCC1524,CCS005,2025-07-31
CCO00231,CCC0516,CCS006,2025-09-18
CCO00232,CCC2362,CCS023,2025-09-19
CCO00233,CCC0379,CCS001,2025-10-08
CCO00234,CCC1448,CCS002,2025-01-18
CCO00235,CCC0131,CCS024,2025-11-04
CCO00236,CCC0401,CCS024,2025-11-04
CCO00237,CCC2000,CCS013,2025-06-21
CCO00238,CCC1919,CCS020,2025-06-01
CCO00239,CCC0482,CCS002,2025-07-06
CCO00240,CCC0154,CCS007,2025-02-21
CCO00241,CCC2406,CCS016,2025-02-12
CCO00242,CCC0336,CCS004,2025-08-22
CCO00243,CCC2684,CCS001,2025-10-02
CCO00244,CCC2000,CCS018,2025-03-14
CCO00245,CCC0628,CCS008,2025-09-21
CCO00246,CCC1362,CCS011,2025-06-01
CCO00247,CCC2030,CCS014,2025-12-02
CCO00248,CCC2073,CCS009,2025-08-26
CCO00249,CCC1556,CCS016,2025-06-10
CCO00250,CCC0135,CCS023,2025-11-23
CCO00251,CCC1591,CCS007,2025-05-24
CCO00252,CCC1036,CCS015,2025-01-05
CCO00253,CCC2393,CCS009,2025-05-28
CCO00254,CCC1223,CCS006,2025-09-11
CCO00255,CCC1075,CCS002,2025-09-03
CCO00256,CCC1664,CCS014,2025-05-24
CCO00257,CCC1220,CCS010,2025-03-01
CCO00258,CCC0201,CCS013,2025-03-04
CCO00259,CCC2349,CCS006,2025-01-24
CCO00260,CCC2101,CCS021,2025-06-09
CCO00261,CCC0281,CCS023,2025-03-12
CCO00262,CCC0581,CCS005,2025-01-19
CCO00263,CCC2914,CCS008,2025-10-04
CCO00264,CCC2023,CCS022,2025-08-10
CCO00265,CCC1850,CCS007,2025-12-15
CCO00266,CCC2190,CCS024,2025-06-04
CCO00267,CCC0563,CCS019,2025-02-03
CCO00268,CCC2085,CCS010,2025-07-14
CCO00269,CCC0391,CCS005,2025-03-12
CCO00270,CCC0994,CCS019,2025-02-25
CCO00271,CCC2063,CCS005,2025-06-03
CCO00272,CCC1495,CCS022,2025-02-19
CCO00273,CCC1170,CCS024,2025-01-18
CCO00274,CCC1685,CCS025,2025-07-08
CCO00275,CCC0961,CCS010,2025-01-22
CCO00276,CCC0678,CCS020,2025-04-03
CCO00277,CCC1609,CCS013,2025-09-12
CCO00278,CCC2777,CCS007,2025-02-24
CCO00279,CCC1733,CCS015,2025-09-30
CCO00280,CCC2611,CCS012,2025-01-15
CCO00281,CCC1258,CCS007,2025-09-11
CCO00282,CCC1083,CCS010,2025-05-03
CCO00283,CCC0282,CCS024,2025-11-03
CCO00284,CCC1826,CCS023,2025-07-06
CCO00285,CCC1061,CCS005,2025-04-25
CCO00286,CCC2379,CCS015,2025-03-21
CCO00287,CCC2103,CCS001,2025-02-23
CCO00288,CCC2931,CCS024,2025-10-14
CCO00289,CCC2024,CCS001,2025-06-23
CCO00290,CCC0705,CCS017,2025-05-11
