Store_ID,Store_Name,City,Area
CCS001,CCD Store 1,Delhi,Hitech City
CCS002,CCD Store 2,Bangalore,Hitech City
CCS003,CCD Store 3,Hyderabad,Koramangala
CCS004,CCD Store 4,Hyderabad,Andheri
CCS005,CCD Store 5,Bangalore,Andheri
CCS006,CCD Store 6,Hyderabad,Bandra
CCS007,CCD Store 7,Pune,Andheri
CCS008,CCD Store 8,Hyderabad,Powai
CCS009,CCD Store 9,Delhi,Koramangala
CCS010,CCD Store 10,Mumbai,Indiranagar
CCS011,CCD Store 11,Bangalore,Koramangala
CCS012,CCD Store 12,Pune,Powai
CCS013,CCD Store 13,Chennai,Koramangala
CCS014,CCD Store 14,Pune,Koregaon Park
CCS015,CCD Store 15,Chennai,Indiranagar
CCS016,CCD Store 16,Delhi,Hitech City
CCS017,CCD Store 17,Pune,Andheri
CCS018,CCD Store 18,Hyderabad,Andheri
CCS019,CCD Store 19,Mumbai,Koregaon Park
CCS020,CCD Store 20,Mumbai,Hitech City
CCS021,CCD Store 21,Hyderabad,Andheri
CCS022,CCD Store 22,Delhi,CP
CCS023,CCD Store 23,Hyderabad,Koregaon Park
CCS024,CCD Store 24,Hyderabad,Bandra
CCS025,CCD Store 25,Hyderabad,Bandra
