Order_ID,Product_ID,Quantity
STO05887,STP013,2
STO03864,STP010,2
STO08899,STP009,1
STO11916,STP005,2
STO11904,STP009,4
STO02854,STP013,4
STO01339,STP008,2
STO00165,STP005,3
STO04046,STP009,2
STO03961,STP018,4
STO07226,STP002,4
STO07768,STP013,1
STO05095,STP005,2
STO10680,STP019,4
STO10483,STP014,4
STO07697,STP010,1
STO08833,STP016,4
STO02197,STP003,1
STO07354,STP011,2
STO04786,STP002,1
STO03951,STP007,1
STO06069,STP003,1
STO11271,STP020,4
STO02370,STP010,4
STO02254,STP012,3
STO02996,STP014,3
STO04741,STP003,4
STO10919,STP018,2
STO09725,STP006,4
STO07118,STP008,3
STO11458,STP006,2
STO09103,STP004,2
STO08377,STP019,2
STO06248,STP007,2
STO07528,STP018,4
STO08454,STP001,4
STO00651,STP009,2
STO10662,STP008,3
STO07482,STP008,1
STO08538,STP020,3
STO09484,STP008,1
STO01322,STP014,2
STO11051,STP003,2
STO05223,STP008,3
STO11586,STP015,1
STO05672,STP001,4
STO10739,STP001,4
STO07856,STP012,1
STO11850,STP018,3
STO09279,STP010,4
STO03242,STP012,4
STO06192,STP017,4
STO11541,STP014,2
STO01159,STP008,1
STO05331,STP019,3
STO01196,STP020,3
STO09052,STP009,3
STO04554,STP006,2
STO06075,STP019,3
STO05516,STP004,2
STO03096,STP002,3
STO10033,STP003,3
STO04820,STP004,4
STO03411,STP012,1
STO11535,STP004,1
STO09776,STP014,4
STO05057,STP011,1
STO11019,STP008,4
STO03759,STP013,3
STO09919,STP001,3
STO00499,STP009,1
STO08049,STP008,4
STO02333,STP005,2
STO04274,STP005,4
STO11503,STP016,4
STO00648,STP007,2
STO03547,STP018,1
STO02293,STP017,1
STO07232,STP003,2
STO05789,STP010,4
STO11174,STP011,2
STO01967,STP003,2
STO07230,STP011,4
STO04001,STP016,2
STO01153,STP003,3
STO09935,STP007,2
STO01723,STP001,4
STO02654,STP008,1
STO07078,STP011,3
STO11032,STP001,1
STO03849,STP018,1
STO08347,STP001,2
STO11551,STP014,3
STO08965,STP012,1
STO11101,STP002,1
STO02114,STP003,2
STO04990,STP003,3
STO00389,STP018,1
STO07336,STP002,2
STO08484,STP009,4
STO01027,STP014,4
STO08732,STP015,2
STO03011,STP003,3
STO09305,STP020,4
STO00177,STP007,2
STO00338,STP009,2
STO10556,STP010,4
STO04192,STP007,2
STO05027,STP010,2
STO01712,STP002,4
STO05919,STP003,1
STO00341,STP010,4
STO00032,STP003,1
STO10306,STP010,1
STO03265,STP004,2
STO05509,STP012,3
STO07459,STP019,3
STO02182,STP002,4
STO02405,STP005,2
STO09778,STP012,4
STO11346,STP015,2
STO10764,STP003,4
STO06190,STP003,4
STO11720,STP018,4
STO08047,STP014,4
STO07176,STP012,1
STO03568,STP017,4
STO07614,STP003,2
STO03492,STP020,1
STO08734,STP019,2
STO10072,STP015,2
STO00684,STP009,4
STO03684,STP002,3
STO05919,STP004,3
STO05228,STP011,4
STO08353,STP003,4
STO11866,STP008,3
STO01860,STP018,1
STO08170,STP019,4
STO05107,STP002,2
STO10263,STP004,3
STO07938,STP011,3
STO10156,STP007,1
STO08837,STP011,2
STO10841,STP013,2
STO00541,STP012,3
STO05009,STP020,2
STO03860,STP019,2
STO07341,STP003,3
STO04124,STP001,4
STO03734,STP017,3
STO06890,STP015,1
STO02299,STP002,4
STO10402,STP003,3
STO03232,STP015,3
STO03046,STP002,3
STO05883,STP012,3
STO03589,STP011,3
STO04628,STP002,4
STO08457,STP019,4
STO07472,STP015,2
STO10557,STP005,1
STO00513,STP002,4
STO02292,STP001,3
STO00355,STP020,3
STO08102,STP003,1
STO02848,STP010,4
STO01731,STP015,3
STO10956,STP016,1
STO04580,STP004,1
STO11372,STP010,4
STO06699,STP016,1
STO08550,STP014,3
STO04480,STP005,4
STO02066,STP010,3
STO08153,STP002,3
STO09224,STP018,4
STO07701,STP003,1
STO00257,STP004,4
STO07639,STP001,2
STO03969,STP006,3
STO07590,STP002,3
STO10808,STP010,2
STO00478,STP015,2
STO02206,STP010,4
STO10804,STP014,4
STO10769,STP009,1
STO03503,STP002,3
STO03729,STP017,1
STO07603,STP015,2
STO04279,STP013,2
STO04647,STP015,1
STO04629,STP017,1
STO01725,STP007,1
STO01528,STP017,4
STO04726,STP008,2
STO04055,STP003,3
STO05854,STP013,3
STO01588,STP017,1
STO02721,STP015,3
STO09744,STP003,4
STO00932,STP001,2
STO04444,STP008,4
STO04437,STP007,2
STO05802,STP013,4
STO04850,STP001,3
STO03441,STP013,2
STO05165,STP003,2
STO03367,STP004,1
STO05515,STP009,1
STO10437,STP003,1
STO09698,STP001,2
STO00455,STP013,1
STO08009,STP004,2
STO06587,STP019,2
STO00865,STP002,3
STO02107,STP006,1
STO11058,STP010,3
STO02687,STP014,4
STO10715,STP008,3
STO03280,STP018,3
STO10974,STP005,3
STO06954,STP004,1
STO06707,STP004,3
STO10946,STP020,3
STO04426,STP005,4
STO11498,STP003,3
STO05398,STP011,2
STO07186,STP011,2
STO06578,STP017,2
STO11794,STP020,3
STO00984,STP018,1
STO04419,STP020,3
STO00515,STP006,2
STO02189,STP007,3
STO09096,STP012,2
STO05699,STP017,1
STO11365,STP007,3
STO10566,STP006,1
STO05507,STP001,4
STO05180,STP002,4
STO11733,STP017,1
STO09600,STP015,2
STO05910,STP009,3
STO02155,STP012,2
STO04596,STP016,4
STO08007,STP016,3
STO04674,STP009,4
STO04335,STP019,2
STO00556,STP010,4
STO04626,STP002,1
STO07124,STP001,4
STO09312,STP018,2
STO06393,STP010,4
STO02063,STP015,3
STO05981,STP007,4
STO07580,STP019,2
STO09216,STP012,3
STO10703,STP013,1
STO09549,STP004,2
STO01988,STP001,3
STO00400,STP015,2
STO05906,STP009,3
STO11979,STP007,4
STO00714,STP003,4
STO00991,STP019,2
STO02316,STP009,4
STO00510,STP015,2
STO06507,STP005,3
STO10952,STP004,4
STO04861,STP007,1
STO11234,STP013,1
STO03566,STP005,3
STO00963,STP008,3
STO04040,STP020,3
STO04382,STP005,4
STO09123,STP019,3
STO02545,STP008,4
STO01488,STP016,3
STO09338,STP014,3
STO05508,STP010,3
STO11654,STP020,3
STO07478,STP017,1
STO02840,STP015,2
STO11890,STP004,4
STO11627,STP010,2
STO07200,STP004,2
STO02175,STP005,3
STO00388,STP006,2
STO09826,STP007,4
STO10907,STP005,4
STO06349,STP004,4
STO06696,STP009,1
STO10917,STP009,1
STO04558,STP013,3
STO10876,STP012,1
STO01324,STP006,4
STO03792,STP017,1
STO02012,STP001,3
STO00108,STP005,2
STO08715,STP020,2
STO00621,STP016,3
STO11128,STP011,3
STO02781,STP017,2
STO07248,STP014,4
STO07890,STP009,2
STO03380,STP020,2
STO05216,STP009,2
STO03756,STP015,2
STO11984,STP005,4
STO08521,STP007,4
STO09478,STP006,1
STO05648,STP004,1
STO00196,STP005,4
STO00024,STP016,4
STO02706,STP003,3
STO03174,STP009,4
STO09327,STP013,3
STO03549,STP016,1
STO05918,STP012,4
STO04074,STP004,1
STO05835,STP006,1
STO09181,STP019,2
STO01074,STP018,4
STO03637,STP001,3
STO00848,STP016,2
STO03817,STP015,4
STO03732,STP004,2
STO10032,STP016,2
STO04509,STP003,3
STO08474,STP011,1
STO02620,STP015,3
STO09938,STP001,2
STO06750,STP018,1
STO00005,STP020,1
STO07735,STP005,2
STO00451,STP018,4
STO01400,STP006,1
STO08560,STP019,3
STO05689,STP006,2
STO09769,STP011,4
STO00620,STP005,2
