Order_ID,Customer_ID,Store_ID,Order_Date
STO00001,STC2702,STS017,2025-02-05
STO00002,STC1863,STS002,2025-07-08
STO00003,STC2124,STS001,2025-03-29
STO00004,STC1339,STS014,2025-07-20
STO00005,STC0644,STS004,2025-03-08
STO00006,STC2198,STS014,2025-09-02
STO00007,STC0282,STS013,2025-04-16
STO00008,STC0533,STS007,2025-06-08
STO00009,STC1771,STS023,2025-12-07
STO00010,STC1945,STS006,2025-11-06
STO00011,STC2356,STS010,2025-10-28
STO00012,STC0832,STS017,2025-12-17
STO00013,STC1880,STS009,2025-04-14
STO00014,STC0031,STS005,2025-08-17
STO00015,STC0263,STS013,2025-11-06
STO00016,STC1012,STS017,2025-06-18
STO00017,STC2332,STS016,2025-08-24
STO00018,STC1896,STS019,2025-01-21
STO00019,STC0374,STS010,2025-11-27
STO00020,STC1870,STS012,2025-12-25
STO00021,STC2915,STS010,2025-07-20
STO00022,STC2511,STS006,2025-08-01
STO00023,STC1021,STS006,2025-11-13
STO00024,STC1770,STS015,2025-07-16
STO00025,STC2700,STS006,2025-12-24
STO00026,STC2330,STS004,2025-07-21
STO00027,STC2862,STS002,2025-05-03
STO00028,STC0647,STS009,2025-11-18
STO00029,STC2203,STS010,2025-12-08
STO00030,STC0274,STS023,2025-04-22
STO00031,STC2022,STS014,2025-10-11
STO00032,STC0497,STS012,2025-02-09
STO00033,STC0431,STS017,2025-06-16
STO00034,STC1680,STS015,2025-03-26
STO00035,STC1036,STS007,2025-09-17
STO00036,STC0183,STS015,2025-01-14
STO00037,STC0300,STS021,2025-12-22
STO00038,STC2768,STS024,2025-08-25
STO00039,STC1562,STS011,2025-07-24
STO00040,STC0797,STS013,2025-01-20
STO00041,STC0044,STS009,2025-02-28
STO00042,STC2905,STS005,2025-06-17
STO00043,STC2746,STS024,2025-08-26
STO00044,STC1986,STS015,2025-02-04
STO00045,STC0339,STS018,2025-12-03
STO00046,STC0993,STS023,2025-08-13
STO00047,STC0575,STS016,2025-05-23
STO00048,STC0661,STS006,2025-01-10
STO00049,STC2487,STS004,2025-04-01
STO00050,STC1205,STS004,2025-10-01
STO00051,STC1601,STS006,2025-02-09
STO00052,STC2751,STS025,2025-01-06
STO00053,STC2775,STS009,2025-03-20
STO00054,STC1805,STS012,2025-04-02
STO00055,STC0888,STS023,2025-01-18
STO00056,STC2765,STS018,2025-04-21
STO00057,STC1811,STS023,2025-01-25
STO00058,STC2601,STS017,2025-11-25
STO00059,STC2714,STS023,2025-12-04
STO00060,STC0422,STS013,2025-12-20
STO00061,STC1263,STS015,2025-01-27
STO00062,STC2451,STS001,2025-01-25
STO00063,STC1546,STS025,2025-04-14
STO00064,STC1023,STS012,2025-05-03
STO00065,STC0820,STS003,2025-01-09
