Product_ID,Product_Name,Category,Price
STP001,Starbucks Product 1,Dessert,304
STP002,Starbucks Product 2,Dessert,381
STP003,Starbucks Product 3,Dessert,375
STP004,Starbucks Product 4,Sandwich,441
STP005,Starbucks Product 5,Cold Coffee,317
STP006,Starbucks Product 6,Hot Coffee,320
STP007,Starbucks Product 7,Sandwich,356
STP008,Starbucks Product 8,Sandwich,268
STP009,Starbucks Product 9,Tea,247
STP010,Starbucks Product 10,Sandwich,365
STP011,Starbucks Product 11,Tea,383
STP012,Starbucks Product 12,Cold Coffee,243
STP013,Starbucks Product 13,Dessert,246
STP014,Starbucks Product 14,Hot Coffee,265
STP015,Starbucks Product 15,Dessert,431
STP016,Starbucks Product 16,Hot Coffee,345
STP017,Starbucks Product 17,Cold Coffee,267
STP018,Starbucks Product 18,Sandwich,237
STP019,Starbucks Product 19,Cold Coffee,292
STP020,Starbucks Product 20,Tea,279
